max_depth;min_samples_leaf;min_samples_split;class_weight;cv_auc_mean;cv_auc_se;train_auc;overfit_gap;n_leaves;depth
6;20;200;balanced;0,6409222743364926;0,007347624149567625;0,6897552586104767;0,04883298427398408;45;6
6;80;100;balanced;0,6400727616670611;0,009558831481124163;0,6859933174359069;0,045920555768845794;47;6
6;80;50;balanced;0,6400727616670611;0,009558831481124163;0,6859933174359069;0,045920555768845794;47;6
6;20;100;balanced;0,6356533738558575;0,0061278157569152275;0,6917469924933495;0,05609361863749196;49;6
6;40;50;balanced;0,6335652301618357;0,007319946640047587;0,6949138014594388;0,06134857129760307;54;6
6;40;100;balanced;0,6333095909629904;0,007098689420517403;0,6926514077615638;0,05934181679857331;50;6
3;40;400;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3
3;40;200;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3
3;40;100;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3
3;40;50;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3
3;20;400;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3
3;20;200;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3
3;20;100;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3
3;20;50;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3
3;160;400;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
3;80;50;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
3;80;100;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
3;80;200;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
3;80;400;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
3;160;50;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
3;160;100;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
3;160;200;balanced;0,6325077543559162;0,009778345369110588;0,6338406471770307;0,0013328928211144841;8;3
6;20;50;balanced;0,6321252439146403;0,0061684559540705055;0,6973594327433758;0,06523418882873544;59;6
